soc_code,title,sector,la_employment,la_median_wage,exposure_prior,confidence,megaproject_adjacent,depth_authored,rationale
41-2031,Retail Salespersons,retail-hospitality,38000,30400,0.38,medium,false,false,"High-volume retail"
35-3023,Fast Food and Counter Workers,retail-hospitality,52000,25800,0.32,low,false,false,"Ordering automation"
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,retail-hospitality,16000,36900,0.36,medium,false,false,"Restaurant ops"
37-2011,Janitors and Cleaners,retail-hospitality,22000,29400,0.12,low,false,false,"Low exposure baseline"
39-9011,Childcare Workers,education,6100,24800,0.14,low,false,false,"Low exposure baseline"
43-3031,Bookkeeping Clerks,finance-insurance,8800,43600,0.82,high,false,false,"Automation target"
43-9061,Office Clerks,public-administration,12000,36100,0.68,medium,false,false,"Broad office automation"
17-3022,Civil Engineering Technologists and Technicians,construction,1700,58200,0.48,medium,true,false,"Infrastructure design"
19-5011,Occupational Health and Safety Specialists,public-administration,1600,82400,0.52,medium,true,false,"Regulated workflows"
45-2092,Farmworkers and Laborers,agriculture,4100,28400,0.16,low,false,false,"Low direct exposure"
51-9032,Cutting and Slicing Machine Setters,manufacturing,2400,40800,0.28,medium,false,false,"Mid-exposure trade"
53-6051,"Transportation Inspectors",logistics-ports,900,76400,0.38,medium,false,false,"Port compliance"
53-5031,Ship Engineers,logistics-ports,600,88600,0.34,medium,false,false,"Marine ops"
49-2022,"Telecom Equipment Installers and Repairers",technology,2100,62400,0.34,medium,true,false,"Fiber for data centers"
51-8031,"Water Treatment Plant Operators",public-administration,2100,51200,0.28,medium,false,false,"Utilities"
45-1011,First-Line Supervisors of Farming,agriculture,700,56800,0.34,medium,false,false,"Ag management"
11-3031,Financial Managers,finance-insurance,4800,124400,0.62,medium,false,false,"CFO-adjacent"
11-3061,Purchasing Managers,public-administration,1600,104200,0.58,medium,true,false,"Megaproject procurement"
13-1041,Compliance Officers,finance-insurance,3400,72100,0.66,medium,false,false,"Regulated workflows"
13-1071,Human Resources Specialists,public-administration,7200,62800,0.58,medium,false,false,"HR workflow AI"
13-1161,Market Research Analysts,finance-insurance,2700,68400,0.76,medium,false,false,"Research automation"
15-2051,Data Scientists,technology,1100,108400,0.88,high,true,false,"The role itself"
17-2071,Electrical Engineers,energy-petrochemicals,2900,99400,0.52,medium,true,false,"Grid+data center"
21-1022,"Healthcare Social Workers",healthcare,2800,56400,0.36,medium,false,false,"Care coordination"
27-3031,Public Relations Specialists,retail-hospitality,2200,58100,0.68,medium,false,false,"Comms workflow"
